# Matter power spectrum P(k) at redshift z=45
# for k=1.02901e-05 to 20.064 h/Mpc,
# number of wavenumbers equal to 630
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029007511648e-05       3.894248680174e-02 
       1.052976175673e-05       3.981508666682e-02 
       1.077503141605e-05       4.070724698000e-02 
       1.102601413965e-05       4.161939093132e-02 
       1.128284300189e-05       4.255197171184e-02 
       1.154565417684e-05       4.350544694636e-02 
       1.181458701046e-05       4.448029016998e-02 
       1.208978409449e-05       4.547697638579e-02 
       1.237139134208e-05       4.649599180450e-02 
       1.265955806511e-05       4.753784319192e-02 
       1.295443705340e-05       4.860304147060e-02 
       1.325618465569e-05       4.969210790565e-02 
       1.356496086254e-05       5.080557731169e-02 
       1.388092939120e-05       5.194399650215e-02 
       1.420425777236e-05       5.310792456961e-02 
       1.453511743901e-05       5.429793320420e-02 
       1.487368381732e-05       5.551460647663e-02 
       1.522013641966e-05       5.675854188627e-02 
       1.557465893979e-05       5.803035505005e-02 
       1.593743935025e-05       5.933066098119e-02 
       1.630867000201e-05       6.066010283476e-02 
       1.668854772648e-05       6.201933415276e-02 
       1.707727393985e-05       6.340902156441e-02 
       1.747505474991e-05       6.482984810379e-02 
       1.788210106530e-05       6.628251113047e-02 
       1.829862870738e-05       6.776772405844e-02 
       1.872485852461e-05       6.928621621137e-02 
       1.916101650968e-05       7.083873325501e-02 
       1.960733391933e-05       7.242603752944e-02 
       2.006404739696e-05       7.404890883138e-02 
       2.053139909810e-05       7.570814361347e-02 
       2.100963681881e-05       7.740455622763e-02 
       2.149901412705e-05       7.913898063452e-02 
       2.199979049715e-05       8.091226828656e-02 
       2.251223144738e-05       8.272528971777e-02 
       2.303660868071e-05       8.457893510528e-02 
       2.357320022888e-05       8.647411498549e-02 
       2.412229059985e-05       8.841175947375e-02 
       2.468417092858e-05       9.039282043632e-02 
       2.525913913148e-05       9.241827038922e-02 
       2.584750006429e-05       9.448910401562e-02 
       2.644956568376e-05       9.660633760576e-02 
       2.706565521306e-05       9.877101161369e-02 
       2.769609531102e-05       1.009841885381e-01 
       2.834122024530e-05       1.032469551750e-01 
       2.900137206970e-05       1.055604224781e-01 
       2.967690080545e-05       1.079257263720e-01 
       3.036816462683e-05       1.103440282213e-01 
       3.107553005107e-05       1.128165153907e-01 
       3.179937213266e-05       1.153444018669e-01 
       3.254007466228e-05       1.179289287949e-01 
       3.329803037021e-05       1.205713651397e-01 
       3.407364113459e-05       1.232730082658e-01 
       3.486731819451e-05       1.260351846072e-01 
       3.567948236807e-05       1.288592502969e-01 
       3.651056427545e-05       1.317465918530e-01 
       3.736100456728e-05       1.346986267559e-01 
       3.823125415827e-05       1.377168044060e-01 
       3.912177446626e-05       1.408026065518e-01 
       4.003303765691e-05       1.439575480608e-01 
       4.096552689403e-05       1.471831777275e-01 
       4.191973659575e-05       1.504810795084e-01 
       4.289617269668e-05       1.538528715790e-01 
       4.389535291618e-05       1.573002091554e-01 
       4.491780703282e-05       1.608247855265e-01 
       4.596407716530e-05       1.644283299739e-01 
       4.703471805991e-05       1.681126126516e-01 
       4.813029738460e-05       1.718794403449e-01 
       4.925139603005e-05       1.757306627231e-01 
       5.039860841760e-05       1.796681689049e-01 
       5.157254281443e-05       1.836938942814e-01 
       5.277382165611e-05       1.878098126824e-01 
       5.400308187657e-05       1.920179453938e-01 
       5.526097524585e-05       1.963203570383e-01 
       5.654816871568e-05       2.007191586426e-01 
       5.786534477307e-05       2.052165108524e-01 
       5.921320180219e-05       2.098146173881e-01 
       6.059245445469e-05       2.145157390570e-01 
       6.200383402857e-05       2.193221796554e-01 
       6.344808885598e-05       2.242362988538e-01 
       6.492598469993e-05       2.292605067315e-01 
       6.643830516036e-05       2.343972705340e-01 
       6.798585208961e-05       2.396491072515e-01 
       6.956944601753e-05       2.450185969035e-01 
       7.118992658660e-05       2.505083742803e-01 
       7.284815299705e-05       2.561211297542e-01 
       7.454500446247e-05       2.618596174122e-01 
       7.628138067599e-05       2.677266523414e-01 
       7.805820228724e-05       2.737251109822e-01 
       7.987641139056e-05       2.798579379049e-01 
       8.173697202450e-05       2.861281410740e-01 
       8.364087068292e-05       2.925387936873e-01 
       8.558911683809e-05       2.990930402284e-01 
       8.758274347592e-05       3.057940935857e-01 
       8.962280764363e-05       3.126452400718e-01 
