# P(k) from music_build/ics_swift_n256_z45.hdf5
# BoxSize=25 Mpc/h  N=16777216  ngrid=256
# Shot noise subtracted: P_shot = 9.3132e-04 (Mpc/h)^3
# Columns: k[h/Mpc]  P(k)[(Mpc/h)^3]  sigma_P  nmodes
2.513274e-01 4.106203e-01 1.220595e-01 5
3.554306e-01 3.446752e-01 3.081140e-02 8
4.353118e-01 2.598859e-01 7.424352e-02 4
5.478589e-01 1.409274e-01 2.761351e-02 21
6.156239e-01 1.292258e-01 2.928156e-02 12
7.401835e-01 8.578178e-02 1.380772e-02 25
8.187960e-01 4.291953e-02 6.493075e-03 32
9.266982e-01 4.775152e-02 6.204372e-03 40
1.087033e+00 4.551115e-02 4.556728e-03 105
1.262042e+00 2.789029e-02 2.495816e-03 101
1.427596e+00 2.237700e-02 1.840959e-03 165
1.625153e+00 1.518331e-02 9.479699e-04 236
1.869061e+00 1.016785e-02 6.026424e-04 393
2.159003e+00 6.961625e-03 3.324035e-04 602
2.487953e+00 4.555492e-03 1.798373e-04 897
2.863827e+00 2.989072e-03 1.070002e-04 1334
3.288207e+00 1.939010e-03 6.534143e-05 2005
3.770340e+00 1.048557e-03 3.663741e-05 2946
4.324704e+00 5.016965e-04 2.296546e-05 4507
4.968791e+00 5.733635e-05 1.175974e-05 6875
5.716378e+00 -2.342905e-04 6.972007e-06 10523
6.571880e+00 -4.441484e-04 3.935547e-06 15727
7.545056e+00 -5.848812e-04 2.268527e-06 23568
8.666775e+00 -6.900555e-04 1.277627e-06 36069
9.959194e+00 -7.581354e-04 7.574835e-07 54410
1.143848e+01 -8.097147e-04 4.299771e-07 82046
1.313808e+01 -8.455140e-04 2.451746e-07 124483
1.509139e+01 -8.704268e-04 1.424320e-07 188240
