# r_avg   r_low   r_high   xi   npairs
0.000000e+00  1.000000e-01  1.211530e-01  -1.000000e+00  0
0.000000e+00  1.211530e-01  1.467800e-01  -1.000000e+00  0
0.000000e+00  1.467800e-01  1.778280e-01  -1.000000e+00  0
0.000000e+00  1.778280e-01  2.154430e-01  -9.999644e-01  4
0.000000e+00  2.154430e-01  2.610160e-01  -8.438403e-01  31232
0.000000e+00  2.610160e-01  3.162280e-01  1.291385e+00  814934
0.000000e+00  3.162280e-01  3.831190e-01  -6.342976e-01  231288
0.000000e+00  3.831190e-01  4.641590e-01  5.113008e-01  1699708
0.000000e+00  4.641590e-01  5.623410e-01  -3.176443e-01  1364686
0.000000e+00  5.623410e-01  6.812920e-01  2.128439e-01  4313498
0.000000e+00  6.812920e-01  8.254040e-01  -2.012901e-01  5051410
0.000000e+00  8.254040e-01  1.000000e+00  1.094714e-01  12477872
0.000000e+00  1.000000e+00  1.211528e+00  -4.506886e-02  19098398
0.000000e+00  1.211528e+00  1.467799e+00  -5.326460e-03  35375582
0.000000e+00  1.467799e+00  1.778279e+00  1.456097e-02  64165534
0.000000e+00  1.778279e+00  2.154435e+00  1.271591e-02  113897054
0.000000e+00  2.154435e+00  2.610157e+00  -5.364562e-03  198924138
0.000000e+00  2.610157e+00  3.162278e+00  2.049899e-03  356380432
0.000000e+00  3.162278e+00  3.831187e+00  1.259351e-03  633243244
0.000000e+00  3.831187e+00  4.641589e+00  7.767548e-04  1125540932
0.000000e+00  4.641589e+00  5.623413e+00  7.776696e-04  2001527014
0.000000e+00  5.623413e+00  6.812921e+00  4.225787e-04  3558014700
0.000000e+00  6.812921e+00  8.254042e+00  2.920115e-04  6326315118
0.000000e+00  8.254042e+00  1.000000e+01  1.902473e-04  11248811226
