Loaded    : 16777216 particles, boxsize = 37.25 Mpc/h
Subsample : 563157 (auto: target 10000 pairs in smallest bin)
Predicted DD (smallest bin): 10000  →  σ(ξ) ≈ 0.0100
Threads   : 4
In gridlink_double> Running with [nmesh_x, nmesh_y, nmesh_z]  = 7,7,3.  Time taken =   0.334 sec
countpairs_xi_double> gridlink seems inefficient. nmesh = (7, 7, 3); avg_np = 3.83e+03. Boosting bin refine factor - should lead to better performance
xmin = 0.000000 xmax=37.252272 rmax = 10.000000
In gridlink_double> Running with [nmesh_x, nmesh_y, nmesh_z]  = 11,11,3.  Time taken =   0.176 sec
Using fallback kernel
0%.........10%.........20%.........30%.........40%.........50%.........60%.........70%.........80%.........90%.........100% done. Time taken = 34.505 secs
# r_avg   r_low   r_high   xi   npairs
0.000000e+00  1.000000e-01  1.211530e-01  -9.607000e-01  786
0.000000e+00  1.211530e-01  1.467800e-01  6.797433e-01  59740
0.000000e+00  1.467800e-01  1.778280e-01  -1.120522e-01  56158
0.000000e+00  1.778280e-01  2.154430e-01  5.059810e-01  169370
0.000000e+00  2.154430e-01  2.610160e-01  -1.721017e-01  165580
0.000000e+00  2.610160e-01  3.162280e-01  -1.827614e-01  290652
0.000000e+00  3.162280e-01  3.831190e-01  1.918312e-01  753772
0.000000e+00  3.831190e-01  4.641590e-01  -1.857406e-02  1103776
0.000000e+00  4.641590e-01  5.623410e-01  -8.599521e-03  1982764
0.000000e+00  5.623410e-01  6.812920e-01  2.006584e-02  3627880
0.000000e+00  6.812920e-01  8.254040e-01  1.648303e-03  6334886
0.000000e+00  8.254040e-01  1.000000e+00  3.997551e-04  11251178
0.000000e+00  1.000000e+00  1.211528e+00  6.789555e-03  20135554
0.000000e+00  1.211528e+00  1.467799e+00  2.375659e-03  35649508
0.000000e+00  1.467799e+00  1.778279e+00  2.999198e-03  63434314
0.000000e+00  1.778279e+00  2.154435e+00  2.398853e-03  112736726
0.000000e+00  2.154435e+00  2.610157e+00  1.550580e-03  200307146
0.000000e+00  2.610157e+00  3.162278e+00  1.370931e-03  356138956
0.000000e+00  3.162278e+00  3.831187e+00  1.041843e-03  633105682
0.000000e+00  3.831187e+00  4.641589e+00  6.485356e-04  1125396728
0.000000e+00  4.641589e+00  5.623413e+00  4.700242e-04  2000911732
0.000000e+00  5.623413e+00  6.812921e+00  3.280180e-04  3557678394
0.000000e+00  6.812921e+00  8.254042e+00  2.173703e-04  6325843052
0.000000e+00  8.254042e+00  1.000000e+01  1.272607e-04  11248102836
