# r_avg   r_low   r_high   xi   npairs
0.000000e+00  5.820668e+00  6.724924e+00  4.309984e-01  28620
0.000000e+00  6.724924e+00  7.769659e+00  -1.051820e-01  27600
0.000000e+00  7.769659e+00  8.976697e+00  -2.199736e-02  46522
0.000000e+00  8.976697e+00  1.037125e+01  -8.040355e-02  67462
0.000000e+00  1.037125e+01  1.198245e+01  -6.962523e-02  105260
0.000000e+00  1.198245e+01  1.384396e+01  1.247377e-01  196246
0.000000e+00  1.384396e+01  1.599465e+01  5.850434e-02  284830
0.000000e+00  1.599465e+01  1.847947e+01  -8.667049e-02  379022
0.000000e+00  1.847947e+01  2.135030e+01  5.526406e-02  675370
0.000000e+00  2.135030e+01  2.466713e+01  -2.665243e-02  960710
0.000000e+00  2.466713e+01  2.849923e+01  -1.257357e-02  1503048
0.000000e+00  2.849923e+01  3.292667e+01  9.511323e-03  2369862
0.000000e+00  3.292667e+01  3.804192e+01  -3.726775e-03  3606900
0.000000e+00  3.804192e+01  4.395183e+01  -5.931805e-04  5580096
0.000000e+00  4.395183e+01  5.077986e+01  4.293442e-03  8647762
0.000000e+00  5.077986e+01  5.866865e+01  -1.925602e-03  13254086
0.000000e+00  5.866865e+01  6.778299e+01  -1.439341e-03  20450552
0.000000e+00  6.778299e+01  7.831326e+01  -1.661126e-03  31532060
0.000000e+00  7.831326e+01  9.047943e+01  -2.207400e-04  48699242
0.000000e+00  9.047943e+01  1.045357e+02  -2.610669e-05  75119124
0.000000e+00  1.045357e+02  1.207756e+02  1.269898e-03  115999670
0.000000e+00  1.207756e+02  1.395384e+02  -1.062962e-03  178479130
0.000000e+00  1.395384e+02  1.612160e+02  4.968035e-04  275682250
0.000000e+00  1.612160e+02  1.862614e+02  -3.808328e-04  424787182
